Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","586","Pakistan","5417","Yield/Carcass Weight","21116","Meat of goat, fresh or chilled","2021","2021","kg/An","12","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5417","Yield/Carcass Weight","21116","Meat of goat, fresh or chilled","2022","2022","kg/An","12","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5417","Yield/Carcass Weight","21115","Meat of sheep, fresh or chilled","2021","2021","kg/An","16","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5417","Yield/Carcass Weight","21115","Meat of sheep, fresh or chilled","2022","2022","kg/An","16","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0118","Millet","2021","2021","kg/ha","998.7","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0118","Millet","2022","2022","kg/ha","1065.4","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01239.01","Okra","2021","2021","kg/ha","11190.1","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01239.01","Okra","2022","2022","kg/ha","12218","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01253.02","Onions and shallots, dry (excluding dehydrated)","2021","2021","kg/ha","14992.9","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01253.02","Onions and shallots, dry (excluding dehydrated)","2022","2022","kg/ha","14643.3","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01323","Oranges","2021","2021","kg/ha","16424.5","E","Estimated value",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01323","Oranges","2022","2022","kg/ha","16258.3","E","Estimated value",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01241.90","Other beans, green","2021","2021","kg/ha","5880","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01241.90","Other beans, green","2022","2022","kg/ha","8523.6","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01355.90","Other berries and fruits of the genus vaccinium n.e.c.","2021","2021","kg/ha","4904.8","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01355.90","Other berries and fruits of the genus vaccinium n.e.c.","2022","2022","kg/ha","4038.5","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01329","Other citrus fruit, n.e.c.","2021","2021","kg/ha","6961.4","E","Estimated value",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01329","Other citrus fruit, n.e.c.","2022","2022","kg/ha","7188.1","E","Estimated value",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01359.90","Other fruits, n.e.c.","2021","2021","kg/ha","8001.9","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01359.90","Other fruits, n.e.c.","2022","2022","kg/ha","7847","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01379.90","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","2021","2021","kg/ha","925","E","Estimated value",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01379.90","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","2022","2022","kg/ha","918.5","E","Estimated value",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01449.90","Other oil seeds, n.e.c.","2021","2021","kg/ha","807.2","E","Estimated value",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01449.90","Other oil seeds, n.e.c.","2022","2022","kg/ha","810.7","E","Estimated value",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01709.90","Other pulses n.e.c.","2021","2021","kg/ha","516.8","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01709.90","Other pulses n.e.c.","2022","2022","kg/ha","505.3","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01699","Other stimulant, spice and aromatic crops, n.e.c.","2021","2021","kg/ha","6287.5","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01699","Other stimulant, spice and aromatic crops, n.e.c.","2022","2022","kg/ha","6590","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01319","Other tropical fruits, n.e.c.","2021","2021","kg/ha","4258.7","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01319","Other tropical fruits, n.e.c.","2022","2022","kg/ha","4638.8","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01290.90","Other vegetables, fresh n.e.c.","2021","2021","kg/ha","13225.5","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01290.90","Other vegetables, fresh n.e.c.","2022","2022","kg/ha","14558.5","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01317","Papayas","2021","2021","kg/ha","5529.2","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01317","Papayas","2022","2022","kg/ha","7288.6","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01345","Peaches and nectarines","2021","2021","kg/ha","8725","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01345","Peaches and nectarines","2022","2022","kg/ha","10225.8","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01342.01","Pears","2021","2021","kg/ha","8818.3","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01342.01","Pears","2022","2022","kg/ha","8014.8","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01705","Peas, dry","2021","2021","kg/ha","655.7","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01705","Peas, dry","2022","2022","kg/ha","656.8","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01242","Peas, green","2021","2021","kg/ha","8478.9","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01242","Peas, green","2022","2022","kg/ha","8361","A","Official figure",""
