Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","858","Uruguay","5417","Yield/Carcass Weight","21115","Meat of sheep, fresh or chilled","2021","2021","kg/An","19","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5417","Yield/Carcass Weight","21115","Meat of sheep, fresh or chilled","2022","2022","kg/An","18","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5417","Yield/Carcass Weight","21115","Meat of sheep, fresh or chilled","2023","2023","kg/An","18","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","0117","Oats","2021","2021","kg/ha","2120.6","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","0117","Oats","2022","2022","kg/ha","2155.4","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","0117","Oats","2023","2023","kg/ha","2218.7","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01450","Olives","2021","2021","kg/ha","3326.8","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01450","Olives","2022","2022","kg/ha","2718.4","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01450","Olives","2023","2023","kg/ha","2761.3","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01253.02","Onions and shallots, dry (excluding dehydrated)","2021","2021","kg/ha","23067.2","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01253.02","Onions and shallots, dry (excluding dehydrated)","2022","2022","kg/ha","23401.5","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01253.02","Onions and shallots, dry (excluding dehydrated)","2023","2023","kg/ha","23623.9","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01323","Oranges","2021","2021","kg/ha","20543.6","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01323","Oranges","2022","2022","kg/ha","18780.2","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01323","Oranges","2023","2023","kg/ha","17897.2","E","Estimated value",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01241.90","Other beans, green","2021","2021","kg/ha","3214.6","E","Estimated value",""
