area,item,amount [t],absolute_losses [t],relative_losses,al/capita [kg]
Guatemala,"Pulses, Other and products",92256.35277266311,-39256.35277266312,-0.7406859013710023,-2.278217220085965
Guatemala,Rape and Mustardseed,39372.21197044032,-39372.21197044032,-1.0,-2.2849410342163794
Botswana,Rape and Mustardseed,5835.596312897181,-5835.596312897181,-1.0,-2.3124634443812013
Canada,Sesame seed,95859.3436282614,-88028.86760166059,-1.0,-2.3313821367923317
Saint Lucia,"Alcohol, Non-Food",420.8408162287403,-420.8408162287403,-1.0,-2.3520909459358843
Botswana,Rape and Mustard Oil,9950.590787726574,-6012.317922994104,-1.0,-2.3824926652644454
Kuwait,"Sweeteners, Other",30457.284078972592,-10734.045928324209,-0.5442334492103336,-2.402233375576461
Mongolia,"Oilcrops Oil, Other",15870.16625683039,-7911.740910499217,-0.9941339607019777,-2.422112514514696
Armenia,"Alcohol, Non-Food",13856.866248388918,-6914.275042767685,-0.9959213841035863,-2.4584124005039243
Slovenia,"Beverages, Fermented",8618.160046964216,-5221.014821624086,-1.0,-2.467104494939207
Belize,Peas,3975.56433766788,-975.56433766788,-0.3251881125559599,-2.485982930967571
Oman,Sugar (Raw Equivalent),108139.2931592677,-11442.11483420193,-0.1183293559584242,-2.4933048038240595
"China, Macao SAR","Oilcrops, Other",1703.2464356342537,-1703.2464356342537,-1.0,-2.5420867701277925
Lesotho,Sweet potatoes,5743.0819157648075,-5743.0819157648075,-1.0,-2.564329192020021
Iraq,"Alcohol, Non-Food",118977.58212327008,-110412.00575295713,-1.0,-2.6261716441587826
Djibouti,"Beverages, Fermented",2889.3075334153204,-2889.3075334153204,-1.0,-2.6694909690591166
Bulgaria,Sesame seed,20506.40310678862,-18844.769379620753,-1.0,-2.6843502218402593
Trinidad and Tobago,"Pulses, Other and products",8891.246342153278,-4069.096165774149,-0.8438343927375496,-2.6878236117142142
Iceland,"Oilcrops Oil, Other",3209.101006626464,-981.458012150088,-0.44058137438705125,-2.6937970361477963
Mozambique,"Beverages, Alcoholic",95744.56794824886,-83261.96233630479,-1.0,-2.710283990974726
Bahrain,"Oilcrops Oil, Other",4082.656855414159,-4082.656855414159,-1.0,-2.732641685567962
Suriname,"Oilcrops, Other",2124.9170084506964,-1667.567137679574,-1.0,-2.761764373729224
Brunei Darussalam,Beer,1232.976984099698,-1232.976984099698,-1.0,-2.8029020332210286
Uruguay,Sesame seed,9730.229967953715,-9730.229967953715,-1.0,-2.8382324407707897
Costa Rica,Oats,21537.856034276778,-14544.80841807865,-1.0,-2.848929608687391
Samoa,Soyabean Cake,620.808204354281,-620.808204354281,-1.0,-2.9137854038284274
Gabon,Sugar (Raw Equivalent),43202.40764887587,-6636.540959652542,-0.18149551919710016,-2.9261708952852814
Guinea-Bissau,"Alcohol, Non-Food",6937.203652633713,-5928.332227128265,-1.0,-2.9741249710296254
