area,item,amount [t],absolute_losses [t],relative_losses,al/capita [kg]
Bolivia (Plurinational State of),"Rodents, other",3761515.43919236,12416502.72573032,0.7674921983121449,1046.7156096888693
Netherlands,Pigs,6698446.00131113,17182564.08109894,0.7195074254315158,987.3744729554036
Oman,Poultry Birds,3522976.2976176166,4520795.079332499,0.5620243126609856,985.1081073501632
Democratic People's Republic of Korea,Poultry Birds,6227913.913564268,25321968.463797748,0.8026010417701911,980.9685002958656
Uzbekistan,Poultry Birds,22857538.616217103,32222102.096089523,0.5850093007031913,969.2763385117105
United States of America,Maize and products,53686745.37659239,324537723.5784213,0.8580558642202022,967.64789819022
Mauritania,Poultry Birds,1473490.6702977372,4144111.51535488,0.737701136249726,933.1623592057975
Argentina,Soyabeans,8467339.581447136,41644864.24173547,0.8310323846198513,927.3282107863747
Spain,Pigs,10912420.837380672,43408639.0492275,0.7991125198926591,917.1494028755553
Serbia,Maize and products,1120083.8235171514,6771493.7785081435,0.8580659178679694,917.0417124702408
Botswana,Poultry Birds,461913.7351168657,2221428.867434238,0.8278588299989291,880.2824552619664
Peru,"Rodents, other",21445269.268813424,29081202.315937176,0.5755636877821125,878.8442236539839
Tajikistan,Poultry Birds,4200446.687364837,8293948.696625767,0.663813529324758,878.3341556471727
Guinea-Bissau,Poultry Birds,1658426.8290497884,1738669.923390747,0.5118105400270556,872.255709940108
Central African Republic,Poultry Birds,2678568.113655398,4588328.076611314,0.6314013516192684,870.3159044760617
Benin,Poultry Birds,17762063.920283422,10667099.880626567,0.37521680044226713,855.6392677736451
Uganda,Poultry Birds,13362692.85522634,36679459.617092274,0.732971261325778,839.618519544693
Canada,Wheat and products,5050405.799231466,30565163.973526027,0.8581966866891304,809.4966939534147
Turkmenistan,Poultry Birds,10172650.318235088,4992324.784383848,0.32920098784215557,804.6470476409432
Paraguay,Maize and products,829679.7033633775,5016457.840956357,0.8580807076341341,763.1869886906737
Côte d'Ivoire,Poultry Birds,50780908.95615037,19879737.765337244,0.28134101069997564,750.8141707143276
Niger,Poultry Birds,7479976.77450826,17760737.43764638,0.7036543137552627,743.6968421265991
United Republic of Tanzania,Poultry Birds,38324783.41252923,44387479.54454182,0.5366493184641752,730.3940034545176
Bolivia (Plurinational State of),Sugar cane,1432910.249135582,8661089.750864439,0.8580433674325758,730.1329560665689
Angola,Poultry Birds,33249492.72661177,23353979.921301343,0.4125891721620788,709.8690553180494
Costa Rica,Sugar cane,595508.0736203451,3599491.9263796587,0.8580433674325758,705.0418837107554
RoW,Poultry Birds,18183636.877110273,10101492.9531306,0.3571308674825544,696.8626879202702
Sierra Leone,Poultry Birds,19096531.24897849,5657844.130912673,0.2285593574503494,695.0490006967478
Belgium,Pigs,2845305.6836225917,7915808.98900488,0.735593777207852,685.8696600457229
Kazakhstan,Wheat and products,1725687.2864077913,12909643.744899012,0.8820875808878986,684.460247636122
Lesotho,Poultry Birds,345011.78034964565,1503469.6134786648,0.8133539339364912,671.3104698324636
Antigua and Barbuda,Poultry Birds,11652.708196959738,60417.776346651925,0.8383151123410528,654.0348392635822
Kenya,Poultry Birds,15496218.352712046,33385777.827172976,0.6829872025748255,648.7687706366571
Denmark,Barley and products,609644.7746665142,3743594.378005379,0.8599560572516831,644.2501121201634
Ukraine,Maize and products,4604340.42623195,27827708.657543,0.8580311587979372,631.1470009678233
Denmark,Wheat and products,593580.7995742101,3540753.886764735,0.8564265245541017,609.3424816375252
Cambodia,Poultry Birds,11588910.965494707,9879254.50971847,0.46018158939220544,606.2275875057663
Bulgaria,Wheat and products,691219.6882791126,4180704.347299655,0.8581218255393019,595.5219942494311
Cambodia,Rice and products,1594173.802424305,9643767.311694415,0.8581436060007936,591.7772222675615
French Polynesia,Poultry Birds,470043.7884859343,173716.71778254333,0.2698468080769395,577.6270616759326
Serbia,Pigs,1075678.3508012642,4249900.567564356,0.7980166349442848,575.5504208948862
Russian Federation,Wheat and products,4351945.780868163,81780975.5471835,0.9494740720067644,561.0595671317465
Panama,Sugar cane,394497.4819048708,2384502.518095122,0.8580433674325758,559.0152616268657
Ireland,Pigs,613860.3001505019,2752224.020759953,0.8176337127572415,558.8188158715895
North Macedonia,Poultry Birds,620502.1939421283,1147188.307249737,0.6489757717633517,542.6562362819614
Kyrgyzstan,Poultry Birds,1749902.162633697,3393688.9877382307,0.6597898022071285,532.5664219741022
Estonia,Wheat and products,160371.7369634349,689815.8896642667,0.811369006157435,519.0152402961635
Ukraine,Wheat and products,3754595.59776386,22705599.077461883,0.8581040070245882,514.9748741182608
New Caledonia,Poultry Birds,237286.3057256985,146624.1973180915,0.3819228600301333,513.3558948042374
Croatia,Maize and products,348267.24502610706,2097159.281325025,0.8575842531872084,509.68244877011693
Argentina,Soyabean Cake,3939633.130135707,22754060.993521754,0.8524133410727823,506.67670680266446
